PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=673 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=684 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=696 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=696 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=699 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=705 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=744 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=747 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=751 ms
