PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=186 ms
