PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=744 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=831 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=833 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=854 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=753 ms
