PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=2.91 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=380 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=404 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=425 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=422 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=428 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=432 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=508 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=699 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=702 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=703 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=558 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=563 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=643 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=674 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=839 ms
