PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=73.6 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=90.9 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=72.9 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=223 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=91.5 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=59.6 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=81.3 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=88.5 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=78.7 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=90.6 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=110 ms

--- 10.0.0.2 ping statistics ---
300 packets transmitted, 173 received, 42% packet loss, time 30561ms
rtt min/avg/max/mdev = 3.263/138.533/287.286/45.280 ms, pipe 3
